symbol,concept,contexts,types
awardsOfTheMinistryForEmergencySituationsOfRussia,russia,generalOrUnknown,Simulation
awardsOfTheNationalGuardOfTheRussianFederation,russia,generalOrUnknown,Simulation
awl,euphemismForPenis,roman,Simulation
awlRoot,dionysusBacchus,generalOrUnknown,AssociationSimulation
axe,chastisement,generalOrUnknown,Simulation
ascending,goingFromDarknessToLightFromEarthToHeaven,generalOrUnknown,Simulation
ascending,regainingParadise,generalOrUnknown,Simulation
ascending,theHumanConditionBeingTranscendedAndAHigherSpiritualLevelBeingAttained,generalOrUnknown,Simulation
axe,aDeity,celtic,AttributeSimulation
axe,boniface,christian,AttributeSimulation
axe,divinities,generalOrUnknown,AttributeSimulation
axe,josephEspeciallyWhenShownWithCarpenterSTools,christian,AttributeSimulation
axe,lumberjacks,generalOrUnknown,AttributeSimulation
axe,primitiveWarfare,generalOrUnknown,Simulation
axe,prolcus,christian,AttributeSimulation
axe,seversTheCycleOfBirthAndDeath,buddhist,Simulation
axe,teshub,sumeroSemitic,AttributeSimulation
axe,theCriticalFaculty,generalOrUnknown,Simulation
axe,theFecundityOfRain,generalOrUnknown,Simulation
axe,thomasOfCanterbury,christian,AttributeSimulation
ascending,reintegration,generalOrUnknown,Simulation
ascending,transcendence,generalOrUnknown,Simulation
axe,apollo,grecoRoman,AttributeSimulation
axe,artemisDiana,grecoRoman,AttributeSimulation
axe,athenaMinerva,grecoRoman,AttributeSimulation
axe,authority,chinese,Simulation
axe,buddhism,buddhist,EmblematicSimulation
axe,carpenters,generalOrUnknown,AttributeSimulation
axe,chief,celtic,AttributeSimulation
axe,destruction,christian,Simulation
axe,esus,gallic,AttributeSimulation
axe,execution,generalOrUnknown,Simulation
axe,fertility,generalOrUnknown,Simulation
axe,help,generalOrUnknown,Simulation
axe,intercidona,grecoRoman,Simulation
axe,johnTheBaptist,christian,AttributeSimulation
axe,judgment,chinese,Simulation
axe,justice,chinese,Simulation
axe,lightning,generalOrUnknown,Simulation
axe,martyrdom,christian,Simulation
axe,militaryService,heraldic,Simulation
axe,parashurama,hindu,AttributeSimulation
axe,perun,slavic,Simulation
axe,punishment,chinese,Simulation
axe,ramman,sumeroSemitic,AttributeSimulation
axe,sacrifice,generalOrUnknown,Simulation
axe,skyGods,generalOrUnknown,AttributeSimulation
axe,sovereignty,sumeroSemitic,Simulation
axe,ssMatthew,christian,AttributeSimulation
axe,support,generalOrUnknown,Simulation
axe,tammuz,sumeroSemitic,AttributeSimulation
axe,thePowerOfLight,generalOrUnknown,Simulation
axe,theSolar,egyptian,Simulation
axe,theSun,generalOrUnknown,Simulation
axe,thunder,generalOrUnknown,Simulation
100000,timesTheArchangelMichaelWillStrikeSatanWithHisSwordOnTheDayOfJudgment,gospelOfBarnabas,Simulation
106,manSRedemptionByChrist,generalOrUnknown,AssociationSimulation
109,achievement,generalOrUnknown,AssociationSimulation
