symbol,label
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
arrow,Arrow
birdWithAWomanSHeadAndALyre,bird with a woman’s head and a lyre
birdWithAWomanSHeadSometimesBearded,bird with a woman’s head (sometimes bearded)
biscuit,biscuit
biscuit,biscuit
bishop,bishop
bishop,bishop
bishop,bishop
bishop,bishop
bishop,bishop
bishop,bishop
bishop,bishop
bishopHoldingAShipModel,bishop holding a ship model
bishopSMiterOnScroll,bishop’s miter on scroll
bishopWithFootOnFallenOak,bishop with foot on fallen oak
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bitAndBridle,bit and bridle
bjRneborgarnasMarsch,Björneborgarnas marsch
bjRneborgarnasMarsch,Björneborgarnas marsch
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
black,black
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetle,beetle
beetleFlyingThroughTheHouse,beetle flying through the house
beggar,beggar
beggar,beggar
beggar,beggar
beggar,beggar
beggar,beggar
beggar,beggar
beggar,beggar
beggar,beggar
beggarTakingThePillOfImmortality,beggar taking the pill of immortality
beggarWithWalletAsShoulderBag,beggar with wallet as shoulder bag
beheading,beheading
beheading,beheading
beheading,beheading
beheading,beheading
behindTheEightBall,behind the eight ball
beingBoundToAStake,being bound to a stake
beingGivenWaterByGanymede,being given water by Ganymede
beingInAVehicleOneDoesNotBelongIn,being in a vehicle one does not belong in
beingPlayed,being played
beingPrickedOnTheFingerByANeedle,being pricked on the finger by a needle
beingStruckByLightning,being struck by lightning
beingSwallowedByACrocodile,being swallowed by a crocodile
beingThrownFromARock,being thrown from a rock
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
blue,blue
